keyword,catalyst_type,tone
新质生产力,政策催化,positive
低空经济,政策催化,positive
商业航天,政策催化,positive
数据要素,政策催化,positive
设备更新,政策催化,positive
国企改革,政策催化,positive
自主可控,政策催化,positive
国产替代,产业催化,positive
人工智能,产业催化,positive
算力,产业催化,positive
机器人,产业催化,positive
订单增长,产业催化,positive
涨价,产业催化,positive
库存去化,产业催化,positive
出海,产业催化,positive
技术突破,产业催化,positive
供需改善,产业催化,positive
药品获批,产业催化,positive
临床数据,产业催化,positive
BD出海,产业催化,positive
ETF放量,资金催化,positive
机构调研,资金催化,positive
融资余额,资金催化,positive
主力净流入,资金催化,positive
北向资金,资金催化,positive
密集推荐,情绪拥挤,risk
全面看多,情绪拥挤,risk
情绪高涨,情绪拥挤,risk
主升浪,情绪拥挤,risk
牛市主线,情绪拥挤,risk
